,depth_class,AI,MAP,MAT,PS_Bio15,TS_Bio4,TAR_Bio7,MaxTWM_Bio5,MinTCM_Bio6,MMTD_Bio2,PWM_Bio13,PDM_Bio14,Elevation,Slope,Mean_pH,Moisture,CEC,Bulk.Density,RootDepth,GPP,Sand.content,Clay.content,Silt.content,Bedrock,Shannon_EVI,LAI,AbovegroundBiomass,BelowgroundBiomass,CUE
1,0-30,0.426,576.7,10,87.76857758,952.3439941,37,25.5,-11.5,11.05000019,106,2,1411.5625,6.984854221,8.113333333,67.94664539,0.069033332,0.886378333,3.448539019,0,80,6,14,2001,24174,2.924499989,43.7,16.4,0.289262219
2,30-60,0.426,576.7,10,87.76857758,952.3439941,37,25.5,-11.5,11.05000019,106,2,1411.5625,6.984854221,8.356666667,69.47185775,0.064949999,1.07999,3.448539019,0,80.5,6,13.5,2001,24174,2.924499989,43.7,16.4,0.562454381
3,30-60,0.426,576.7,10,87.76857758,952.3439941,37,25.5,-11.5,11.05000019,106,2,1411.5625,6.984854221,8.41,60.50845047,0.068549998,1.179483333,3.448539019,0,80,6,14,2001,24174,2.924499989,43.7,16.4,0.593770095
4,0-30,0.426,576.7,10,87.45503998,954.427063,37,25.60000038,-11.39999962,11.0666666,106,2,1384.75,6.667627335,8.083333333,66.5375735,0.069033332,1.002885556,3.448539019,0,80,6,14,2001,24174,2.924499989,19.5,11.5,0.370009909
5,30-60,0.426,576.7,10,87.45503998,954.427063,37,25.60000038,-11.39999962,11.0666666,106,2,1384.75,6.667627335,8.323333333,41.53523789,0.064949999,1.20412,3.448539019,0,80.5,6,13.5,2001,24174,2.924499989,19.5,11.5,0.571408411
6,30-60,0.426,576.7,10,87.45503998,954.427063,37,25.60000038,-11.39999962,11.0666666,106,2,1384.75,6.667627335,8.423333333,42.57428549,0.068549998,1.16564,3.448539019,0,80,6,14,2001,24174,2.924499989,19.5,11.5,0.567236233
7,0-30,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.253888889,36.95986131,0.069033332,1.170765556,3.448539019,0,80,6,14,2001,24174,2.924499989,4.9,7,0.432571136
8,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.41,50.38885011,0.064949999,1.184466667,3.448539019,0,80.5,6,13.5,2001,24174,2.924499989,4.9,7,0.57989246
9,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.443333333,56.92364806,0.068549998,1.215526667,3.448539019,0,80,6,14,2001,24174,2.924499989,4.9,7,0.585906247
10,0-30,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.296666667,71.51292481,0.069033332,1.097029722,3.448539019,0,80,6,14,2001,24174,2.924499989,21.9,12.5,0.27602961
11,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.433333333,18.23728814,0.064949999,1.076713333,3.448539019,0,80.5,6,13.5,2001,24174,2.924499989,21.9,12.5,0.324279089
12,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.503333333,18.32425068,0.068549998,1.06152,3.448539019,0,80,6,14,2001,24174,2.924499989,21.9,12.5,0.462882649
13,0-30,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.209444444,16.55540721,0.069033332,1.091359778,3.448539019,0,80,6,14,2001,24174,2.924499989,1.9,8.4,0.282465786
14,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.413333333,18.24966079,0.064949999,1.066943333,3.448539019,0,80.5,6,13.5,2001,24174,2.924499989,1.9,8.4,0.430258001
15,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.453333333,18.36990596,0.068549998,1.072206667,3.448539019,0,80,6,14,2001,24174,2.924499989,1.9,8.4,0.469110763
16,0-30,0.4251,576.7,10,87.58175659,949.5344849,36.90000153,25.5,-11.39999962,10.97499943,106,2,1427,6.75412035,8.331666667,12.33333333,0.065633332,0.994174444,5.035477161,0,35,17,48,3654,23951,3.677400112,2,5.3,0.387228544
17,30-60,0.4251,576.7,10,87.58175659,949.5344849,36.90000153,25.5,-11.39999962,10.97499943,106,2,1427,6.75412035,8.466666667,10.29508197,0.068199998,1.227426667,5.035477161,0,33,17.5,49,3654,23951,3.677400112,2,5.3,0.553244188
18,30-60,0.4251,576.7,10,87.58175659,949.5344849,36.90000153,25.5,-11.39999962,10.97499943,106,2,1427,6.75412035,8.453333333,10.88735053,0.070249998,1.179306667,5.035477161,0,30,18.5,51,3654,23951,3.677400112,2,5.3,0.537056713
19,0-30,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.058888889,11.15537849,0.069033332,1.063408333,3.448539019,0,80,6,14,2001,24174,2.924499989,21.9,12.5,0.305378337
20,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.37,9.31339225,0.064949999,0.958053333,3.448539019,0,80.5,6,13.5,2001,24174,2.924499989,21.9,12.5,0.481727719
21,30-60,0.4161,576.7,10,87.77171326,956.2861938,37.20000076,26,-11.19999981,11.13333321,106,2,1343.1875,7.114658833,8.483333333,19,0.068549998,1.174753333,3.448539019,0,80,6,14,2001,24174,2.924499989,21.9,12.5,0.520355541
22,0-30,0.0844,124,9.1,44.8859024,1596.039551,55.30000305,35.20000076,-20.10000038,11.8166666,20,5,246.5625,0.135972232,8.536666667,91.9398594,0.070599998,1.37,10.13199043,0,25.5,5,52,2316,18022,0.260155263,0.6,2.5,0.488302126
23,0-30,0.0844,124,9.1,44.8859024,1596.039551,55.30000305,35.20000076,-20.10000038,11.8166666,20,5,246.5625,0.135972232,8.643333333,94.2142359,0.138799997,1.57,10.13199043,0,24,5,52,2316,18022,0.260155263,0.6,2.5,0.468300266
24,30-60,0.0844,124,9.1,44.8859024,1596.039551,55.30000305,35.20000076,-20.10000038,11.8166666,20,5,246.5625,0.135972232,8.866666667,91.9398594,0.070599998,1.59,10.13199043,0,26.5,5,49,2316,18022,0.260155263,0.6,2.5,0.512713127
